"region";"kjønn";"alder";"år";"statistikkvariabel";"13600: Framskrevet folkemengde 1. januar, etter region, kjønn, alder, år og statistikkvariabel"
"30 Viken";"1 Menn";"F00-04 0-4 år";"2022";"Hovedalternativet (MMMM)";34022
"30 Viken";"1 Menn";"F00-04 0-4 år";"2023";"Hovedalternativet (MMMM)";34230
"30 Viken";"1 Menn";"F00-04 0-4 år";"2024";"Hovedalternativet (MMMM)";34356
"30 Viken";"1 Menn";"F00-04 0-4 år";"2025";"Hovedalternativet (MMMM)";34331
"30 Viken";"1 Menn";"F00-04 0-4 år";"2026";"Hovedalternativet (MMMM)";34543
"30 Viken";"1 Menn";"F00-04 0-4 år";"2027";"Hovedalternativet (MMMM)";34393
"30 Viken";"1 Menn";"F00-04 0-4 år";"2028";"Hovedalternativet (MMMM)";34466
"30 Viken";"1 Menn";"F00-04 0-4 år";"2029";"Hovedalternativet (MMMM)";34655
"30 Viken";"1 Menn";"F00-04 0-4 år";"2030";"Hovedalternativet (MMMM)";34952
"30 Viken";"1 Menn";"F00-04 0-4 år";"2031";"Hovedalternativet (MMMM)";35271
"30 Viken";"1 Menn";"F00-04 0-4 år";"2032";"Hovedalternativet (MMMM)";35573
"30 Viken";"1 Menn";"F00-04 0-4 år";"2033";"Hovedalternativet (MMMM)";35885
"30 Viken";"1 Menn";"F00-04 0-4 år";"2034";"Hovedalternativet (MMMM)";36193
"30 Viken";"1 Menn";"F00-04 0-4 år";"2035";"Hovedalternativet (MMMM)";36537
"30 Viken";"1 Menn";"F00-04 0-4 år";"2036";"Hovedalternativet (MMMM)";36891
"30 Viken";"1 Menn";"F00-04 0-4 år";"2037";"Hovedalternativet (MMMM)";37262
"30 Viken";"1 Menn";"F00-04 0-4 år";"2038";"Hovedalternativet (MMMM)";37575
"30 Viken";"1 Menn";"F00-04 0-4 år";"2039";"Hovedalternativet (MMMM)";37808
"30 Viken";"1 Menn";"F00-04 0-4 år";"2040";"Hovedalternativet (MMMM)";37958
"30 Viken";"1 Menn";"F00-04 0-4 år";"2041";"Hovedalternativet (MMMM)";38017
"30 Viken";"1 Menn";"F00-04 0-4 år";"2042";"Hovedalternativet (MMMM)";37977
"30 Viken";"1 Menn";"F00-04 0-4 år";"2043";"Hovedalternativet (MMMM)";37920
"30 Viken";"1 Menn";"F00-04 0-4 år";"2044";"Hovedalternativet (MMMM)";37831
"30 Viken";"1 Menn";"F00-04 0-4 år";"2045";"Hovedalternativet (MMMM)";37732
"30 Viken";"1 Menn";"F00-04 0-4 år";"2046";"Hovedalternativet (MMMM)";37583
"30 Viken";"1 Menn";"F00-04 0-4 år";"2047";"Hovedalternativet (MMMM)";37416
"30 Viken";"1 Menn";"F00-04 0-4 år";"2048";"Hovedalternativet (MMMM)";37249
"30 Viken";"1 Menn";"F00-04 0-4 år";"2049";"Hovedalternativet (MMMM)";37055
"30 Viken";"1 Menn";"F00-04 0-4 år";"2050";"Hovedalternativet (MMMM)";36863
"30 Viken";"1 Menn";"F05-09 5-9 år";"2022";"Hovedalternativet (MMMM)";38640
"30 Viken";"1 Menn";"F05-09 5-9 år";"2023";"Hovedalternativet (MMMM)";38486
"30 Viken";"1 Menn";"F05-09 5-9 år";"2024";"Hovedalternativet (MMMM)";38478
"30 Viken";"1 Menn";"F05-09 5-9 år";"2025";"Hovedalternativet (MMMM)";38201
"30 Viken";"1 Menn";"F05-09 5-9 år";"2026";"Hovedalternativet (MMMM)";37647
"30 Viken";"1 Menn";"F05-09 5-9 år";"2027";"Hovedalternativet (MMMM)";37516
"30 Viken";"1 Menn";"F05-09 5-9 år";"2028";"Hovedalternativet (MMMM)";37405
"30 Viken";"1 Menn";"F05-09 5-9 år";"2029";"Hovedalternativet (MMMM)";37330
"30 Viken";"1 Menn";"F05-09 5-9 år";"2030";"Hovedalternativet (MMMM)";37249
"30 Viken";"1 Menn";"F05-09 5-9 år";"2031";"Hovedalternativet (MMMM)";37411
"30 Viken";"1 Menn";"F05-09 5-9 år";"2032";"Hovedalternativet (MMMM)";37251
"30 Viken";"1 Menn";"F05-09 5-9 år";"2033";"Hovedalternativet (MMMM)";37342
"30 Viken";"1 Menn";"F05-09 5-9 år";"2034";"Hovedalternativet (MMMM)";37551
"30 Viken";"1 Menn";"F05-09 5-9 år";"2035";"Hovedalternativet (MMMM)";37839
"30 Viken";"1 Menn";"F05-09 5-9 år";"2036";"Hovedalternativet (MMMM)";38173
"30 Viken";"1 Menn";"F05-09 5-9 år";"2037";"Hovedalternativet (MMMM)";38483
"30 Viken";"1 Menn";"F05-09 5-9 år";"2038";"Hovedalternativet (MMMM)";38807
"30 Viken";"1 Menn";"F05-09 5-9 år";"2039";"Hovedalternativet (MMMM)";39118
"30 Viken";"1 Menn";"F05-09 5-9 år";"2040";"Hovedalternativet (MMMM)";39459
"30 Viken";"1 Menn";"F05-09 5-9 år";"2041";"Hovedalternativet (MMMM)";39798
"30 Viken";"1 Menn";"F05-09 5-9 år";"2042";"Hovedalternativet (MMMM)";40178
"30 Viken";"1 Menn";"F05-09 5-9 år";"2043";"Hovedalternativet (MMMM)";40487
"30 Viken";"1 Menn";"F05-09 5-9 år";"2044";"Hovedalternativet (MMMM)";40720
"30 Viken";"1 Menn";"F05-09 5-9 år";"2045";"Hovedalternativet (MMMM)";40876
"30 Viken";"1 Menn";"F05-09 5-9 år";"2046";"Hovedalternativet (MMMM)";40926
"30 Viken";"1 Menn";"F05-09 5-9 år";"2047";"Hovedalternativet (MMMM)";40877
"30 Viken";"1 Menn";"F05-09 5-9 år";"2048";"Hovedalternativet (MMMM)";40814
"30 Viken";"1 Menn";"F05-09 5-9 år";"2049";"Hovedalternativet (MMMM)";40726
"30 Viken";"1 Menn";"F05-09 5-9 år";"2050";"Hovedalternativet (MMMM)";40610
